Tree_ID,Address,Town,Tree_Species,Species_Desc,Common_Name,Age_Desc,Height,Spread,Trunk,Actual_Trunk,Condition,Latitude,Longitude
612208,"Highfield Crescent, Swords",Swords South,ACCA,Acer campestre,Field Maple,Semi-Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,27cm,Fair to Good,53.45486697,-6.228792015
612228,"Highfield Crescent, Swords",Swords South,ACCA,Acer campestre,Field Maple,Mature,5.1-10 metres,6 to 9 metres,11cm to 20cm,19cm,Fair to Good,53.45460653,-6.229093271
616888,"Mooretown Avenue, Swords",Swords North,ACCA,Acer campestre,Field Maple,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,8cm,Good,53.4629886,-6.231134234
626036,"Seatown Court, Swords",Swords East,BEPE,Betula pendula,Silver Birch,Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Fair,53.46421058,-6.210556741
312216,"Muldowney Court, Malahide",Malahide,FREX,Fraxinus excelsior,Common Ash,Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,38cm,Fair - Poor,53.4481706,-6.139220997
312240,"Muldowney Court, Malahide",Malahide,FREX,Fraxinus excelsior,Common Ash,Mature,10.1- 15 metres,6 to 9 metres,41cm - 50cm,48cm,Fair - Poor,53.44813929,-6.139034204
312256,"Muldowney Court, Malahide",Malahide,FREX,Fraxinus excelsior,Common Ash,Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,36cm,Fair to Good,53.44796285,-6.13872581
229464,"Park Avenue, Castleknock",Castleknock,BEPE,Betula pendula,Silver Birch,Semi-Mature,5.1-10 metres,6 to 9 metres,11cm to 20cm,20cm,Good,53.37466777,-6.365197195
303500,"Castle Lawns, Malahide",Malahide,TIXEU,Tilia x europaea,Common Lime,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Good,53.45348871,-6.183581526
313712,"Saint Andrew's Grove, Malahide",Malahide,BEPE,Betula pendula,Silver Birch,Semi-Mature,10.1- 15 metres,3 to 6 metres,21cm to 30cm,21cm,Good,53.4477896,-6.15464726
326228,"The Old Golf Links, Malahide",Malahide,ACPL,Acer platanoides,Norway Maple,Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,13cm,Good,53.45031796,-6.145101459
326236,"The Old Golf Links, Malahide",Malahide,SOIN,Sorbus intermedia,Swedish Whitebeam,Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,8cm,Good,53.4481593,-6.145605314
502660,"Kelly's Bay Shore, Skerries",Skerries,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,1cm - 10cm,7cm,Fair to Good,53.58352003,-6.127955304
504236,"Mourne View, Skerries",Skerries,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,19cm,Good,53.5808586,-6.12324711
618204,"Oaklands Avenue, Swords",Swords North,TICO,Tilia cordata,Small-Leafed Lime,Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Fair to Good,53.45632891,-6.217076687
612628,"Highfield Downs, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,15cm,Fair,53.45431795,-6.226317408
618040,"Oaklands Avenue, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,3 to 6 metres,21cm to 30cm,25cm,Fair to Good,53.45586159,-6.21706767
313900,"Saint Margaret's Park, Malahide",Malahide,PRSPA,Prunus serrulata,Japanese Cherry,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,18cm,Good,53.44688259,-6.154174511
323844,"Seapark, Malahide",Malahide,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,30cm,Good,53.4465927,-6.142977851
608464,"Forest Boulevard, Swords",Swords South,PRCE,Prunus cerasifera,Myrobalan Plum,Semi-Mature,Up to 5 metres,3 to 6 metres,11cm to 20cm,11cm,Fair,53.45090625,-6.247891488
608524,"Forest Boulevard, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Semi-Mature,Up to 5 metres,Up to 3 metres,11cm to 20cm,16cm,Fair,53.4512416,-6.248908411
609252,"Forest Drive, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Semi-Mature,5.1-10 metres,Up to 3 metres,11cm to 20cm,13cm,Fair,53.45032346,-6.242342533
610700,"Forestfields Road, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,28cm,Fair to Good,53.45102281,-6.236428823
612232,"Highfield Crescent, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,22cm,Fair to Good,53.45464387,-6.229235643
612240,"Highfield Crescent, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,6 to 9 metres,31cm to 40cm,31cm,Fair to Good,53.45415367,-6.229907625
612344,"Highfield Crescent, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,25cm,Fair to Good,53.45434485,-6.231427296
612736,"Highfield Downs, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,6 to 9 metres,21cm to 30cm,26cm,Fair to Good,53.45342987,-6.228001114
618032,"Oaklands Avenue, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,15cm,Fair,53.45581974,-6.21686512
618056,"Oaklands Avenue, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,27cm,Fair,53.45599709,-6.217524798
620844,"River Valley Close, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,9 to 12 metres,31cm to 40cm,39cm,Good,53.45483271,-6.240674492
620864,"River Valley Close, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,29cm,Fair to Good,53.45491103,-6.241061933
323808,"Seapark, Malahide",Malahide,CULE,x Cupressocyparis leylandii,Leyland Cypress,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,26cm,Good,53.44565658,-6.144646591
323916,"Seapark, Malahide",Malahide,SOIN,Sorbus intermedia,Swedish Whitebeam,Semi-Mature,5.1-10 metres,6 to 9 metres,31cm to 40cm,35cm,Fair - Poor,53.44724015,-6.143133386
